A+1,1535,677,527,629,1025,872,631,590,652,29521,523,670,9923,5632,788,772,661,830,831,688,567,572,520,592,671,580,791,662,590,683,933,620,992,663,771,606,670,723,579,992,629,722,779,620,562,899,872,669,679,725,682,792,569,580,832,624,824,881,625,568,678,569,562,668,881,929,689,620,936,832,38513,7721,7834,10732,9824,19802,634,689,789,876,792,606,1790,578,18903,16895,3690,2689,1632,1173,834,802,890,973,783,832
A-1,1452,534,417,611,967,819,388,481,490,3992,480,469,8771,4782,702,692,510,722,636,429,421,479,409,561,599,462,540,401,482,571,784,497,923,482,474,429,482,472,462,730,488,829,518,577,488,608,723,580,512,671,429,629,421,484,568,515,578,690,442,470,428,512,470,591,699,562,474,471,827,736,4389,6972,2677,3261,2249,5520,683,567,672,783,739,582,1672,482,2679,3368,1531,542,1630,993,735,772,751,626,644,739
A+2,931,772,631,952,1137,782,746,894,736,38421,774,730,7234,4672,1239,773,682,892,992,668,569,551,531,459,889,780,632,794,977,893,848,922,628,848,937,881,990,727,661,527,669,884,710,825,624,903,552,673,837,917,1149,1031,735,610,874,1025,839,818,934,737,944,839,931,763,885,804,871,811,1120,1903,32899,6639,7352,9994,9347,18903,882,794,821,931,940,835,903,834,16892,18932,2984,1783,1244,782,873,782,925,639,761,983
A-2,845,690,618,872,995,549,532,639,644,4679,711,684,6909,4129,1118,670,631,690,624,562,460,528,470,433,652,721,552,663,733,737,831,639,479,660,625,622,817,682,609,620,582,620,619,737,590,862,478,522,650,735,938,993,569,585,672,994,732,552,706,517,692,682,620,716,609,558,674,603,1153,1775,3982,6178,2452,2681,2213,6129,739,680,653,893,832,749,857,810,2480,3624,1093,398,1139,598,734,672,744,592,783,755
A+3,1121,355,425,656,928,987,412,602,551,32154,542,632,8143,4561,598,584,537,679,539,509,449,506,540,345,543,583,443,475,514,475,413,489,431,516,416,497,465,444,454,428,473,560,533,262,489,491,473,422,397,390,359,390,392,517,444,377,401,749,295,212,533,576,481,356,370,615,552,568,536,2721,35002,5705,7169,9169,8169,31169,542,418,431,396,470,474,1161,468,15793,16912,3104,1515,1045,891,525,792,605,326,461,429
A-3,1104,331,362,620,943,885,365,526,434,4115,464,549,7535,3777,647,562,553,678,563,462,399,468,493,344,641,587,510,559,540,526,551,500,448,491,458,464,419,465,425,397,363,433,414,237,379,322,397,404,465,516,542,521,529,675,595,409,474,440,334,294,601,598,539,430,363,593,661,585,569,2735,4215,6273,2315,2915,1915,3709,514,440,453,399,436,418,1256,341,2300,3225,1228,345,1073,1221,959,927,733,568,636,505
B+1,7721,5562,6487,7622,7861,7669,6722,7528,6732,14211,6632,6239,5934,6623,6201,6176,6732,7321,6176,5788,6181,5980,6235,5892,6234,6904,6729,14591,6689,8732,33462,6783,6392,7743,15677,19803,8901,9203,7348,7374,7253,7192,8263,7732,6804,7853,7635,6459,5735,6125,5534,16137,6659,5562,6341,5235,6642,6791,6538,6721,5164,5782,5093,6742,5638,5279,5372,5670,6729,6532,6562,5632,5637,7822,5672,15612,6252,5672,6325,6734,6328,6589,6742,8843,24657,22881,23118,15678,8834,7813,5773,6139,5575,5643,5626,5622
B-1,7278,5279,5128,7521,7027,7320,5632,6636,6721,13389,6184,5892,5703,6069,5621,5621,6647,6718,5671,4782,5809,5267,6031,5492,6583,5731,5392,4787,6204,7352,5239,5773,5832,6732,5281,6532,7893,7784,7098,6482,6983,6339,7342,6983,5820,6833,7342,6289,5528,5329,5231,5218,4782,5328,5694,5104,6325,5437,6583,5902,4832,5371,4782,5677,5298,5093,4782,4782,6218,5783,6161,5240,4532,6711,3791,14573,5273,5327,5527,5673,5780,5781,5780,7834,3562,6013,5735,4192,4562,3909,3589,5578,4893,4782,4891,5100
B+2,6573,3774,5672,6742,6272,6729,6438,3828,6329,11256,5839,6348,5830,6253,5820,5676,4837,4884,5472,5628,6728,4515,6572,5467,5628,3758,4626,14879,4762,5652,30193,4566,5646,6382,17832,20784,6374,6633,5237,5638,3563,5264,7273,6374,6274,4643,5635,5364,6467,4277,4627,15693,6573,4772,5671,6328,5637,4672,3746,5648,7472,4887,6772,7267,4792,6256,4389,5382,5466,5463,5693,3557,5676,7457,6726,14562,5673,6736,5627,5892,6783,5628,5327,8792,23688,21789,24515,15682,6772,6718,2728,6781,5430,6277,6641,6727
B-2,5739,3662,5374,5820,5729,5803,4729,3902,5638,10937,5293,5235,5249,5348,5249,4891,4249,4492,4824,4589,6345,4212,5627,4648,4708,3081,3475,4547,4237,4675,4689,4572,4320,5633,5463,6752,5462,5362,4892,5201,3142,4365,5462,5632,5263,3647,5374,4255,4277,4084,3489,4780,5632,4382,4783,6299,5322,4263,3256,4684,7682,3478,6473,5757,3900,5374,3776,3997,3780,4577,5229,3220,4679,6440,5219,13995,5004,5274,4953,5328,5728,4892,4352,7593,3781,5679,6112,4236,3673,4588,2561,5778,4893,4562,5472,4982
