A+1,1419,1077,1199,733,1361,1070,527,698,637,37002,591,675,15097,6990,10707,683,650,653,564,558,485,513,561,551,14440,899,3143,803,800,1687,848,844,463,637,664,889,559,617,1854,597,701,622,577,2298,715,2427,1272,638,597,840,13487,973,754,541,530,745,802,943,516,565,572,25361,962,682,26063,489,276,452,663,300,393,510,44413,29458,2966,723,924,850,379,907,673,536,510,441,581,750,735,984,32567,845,753,1065,1218,31869,937,849
A-1,1701,1156,1391,811,1352,1077,570,697,640,5215,618,712,10736,5428,3249,603,647,552,561,516,421,531,528,436,11787,740,2427,651,601,1372,636,674,373,582,535,594,507,714,2014,647,626,600,523,2040,777,2842,1350,789,780,864,13927,1110,824,622,558,881,861,1067,601,793,702,30161,893,653,27386,479,348,454,536,300,404,449,3432,1204,1334,748,861,892,682,511,589,630,525,384,460,676,634,698,1311,730,640,853,1054,1383,739,648
A+2,1562,1782,1673,956,1537,1159,628,927,892,36421,789,752,7893,5787,12442,892,734,866,914,834,892,679,825,742,13562,1378,2601,1231,927,830,1201,702,952,831,879,729,933,746,1569,899,627,901,682,1746,837,3173,852,1426,752,831,15370,673,892,680,942,949,775,1027,739,731,642,26790,1372,1128,21368,1238,739,669,942,841,628,772,37521,32460,3782,882,667,893,975,947,462,932,841,752,783,739,1083,746,27230,749,957,1234,1462,21758,882,772
A-2,1349,1639,1348,872,1450,935,559,661,731,5117,637,732,5327,5327,3469,736,628,735,759,746,762,613,672,620,10638,925,2337,906,641,747,1105,651,844,720,585,583,739,639,1350,726,633,682,531,1560,735,2942,773,1169,682,782,15328,572,561,563,537,742,694,941,617,690,570,25570,1231,905,20995,1219,563,621,573,774,485,560,2670,1357,1542,725,527,731,731,638,399,748,793,633,609,655,894,693,1199,572,844,1198,1339,948,736,659
A+3,1526,1124,1343,934,1428,1032,667,891,772,36589,723,812,12331,6748,11673,835,763,709,693,730,674,732,881,793,12683,936,2901,989,815,1173,994,991,753,727,841,803,864,779,1673,783,826,709,736,1872,931,2677,994,1125,725,937,13487,973,754,541,530,745,802,943,516,565,764,26818,1125,972,25822,973,563,582,728,673,762,630,35782,30843,3452,934,736,902,672,874,561,536,773,623,734,823,735,984,32567,845,883,1238,1299,31869,872,925
A-3,1443,1189,1228,853,1384,992,595,703,734,5198,667,774,8459,5592,3325,714,631,617,588,644,562,668,724,639,10937,861,2677,728,663,1098,828,733,629,703,752,637,762,693,1557,684,739,652,651,1561,743,2703,1027,934,671,881,13927,1110,824,622,558,881,861,1067,601,793,689,25991,1082,853,24917,859,515,478,740,620,573,599,2614,1326,1866,885,772,848,624,669,512,630,658,579,625,714,634,698,1311,730,619,1190,1248,1383,682,713
B+1,7746,5436,5404,5919,8291,6979,6084,6855,6833,35627,6715,6658,13417,6041,5881,6235,5685,5617,5551,6578,5811,6000,6222,5508,13572,7204,6063,5807,6007,5799,6168,6141,6148,6562,6656,6367,7290,7165,8270,6879,6942,6999,7085,7010,7228,7253,6543,6800,5473,6535,13487,3797,2257,7030,2556,5500,4851,3415,5654,3260,3888,26721,4655,3356,3329,3328,3058,3319,3104,3123,3014,3021,5044,5246,4875,5001,4685,3013,5353,4322,4441,4039,4607,4650,5749,6412,4719,4083,4776,4726,4718,4617,4689,3922,4509,4719
B-1,7493,5208,4931,5770,8175,7040,5550,6074,6056,5042,6280,6454,10304,5763,7325,6508,6171,5620,5290,4817,5076,5163,6333,5278,11243,5888,5540,5019,5144,5239,5078,5091,5018,5761,5460,6781,7222,6233,7146,5878,7371,7039,7425,7030,7063,6525,7529,6956,4740,7593,13927,7685,2734,6510,1847,4726,3842,2328,5666,3048,3654,24561,4254,3242,2841,3187,2808,2720,2864,3048,2160,2937,5206,5088,4426,4674,3893,2770,5234,4037,230,3689,4425,4123,7072,6135,4245,3806,4679,4361,4724,4387,4538,3690,4328,4033
B+2,2232,2943,2689,1782,3872,2842,6659,6732,6782,37654,7811,6824,15097,5780,6724,6282,7236,7821,5562,6329,7236,5329,6328,6603,14440,5782,7473,5629,6782,7628,4729,5638,5782,6382,7362,6272,7429,5893,6281,5770,6739,6482,6472,5632,6727,6732,5632,6271,6627,6478,13487,8632,6588,7737,2356,5327,3521,4335,1783,3138,4531,26721,4672,3537,3546,3782,6438,4658,5236,5362,4657,5321,3721,3201,3623,4627,6271,3827,6733,4523,6372,4527,5617,6526,3617,3627,4624,3884,2887,4627,3728,4672,4728,2884,3849,4728
B-2,1476,2783,2783,1788,2855,2437,6322,5673,5389,5432,6721,6523,10736,5328,6022,6201,6892,6982,5190,5892,6834,5102,5622,5692,11787,5328,5378,5044,5722,5729,3671,4629,5453,5735,5683,6548,6732,5384,5903,5347,5672,7821,5525,5219,5325,5362,5217,6572,5672,6219,13927,6727,5646,6372,2189,5267,2985,1563,1283,3721,3728,24561,4236,2788,3562,3501,5672,3679,4235,4672,3263,3273,3490,3109,1789,4521,5628,3156,5674,4109,3823,3791,4259,3713,3371,3349,3308,3476,2457,4582,2894,4273,3474,2849,3628,4828
