G7	0.29	3.39	1.05	0.00	-0.00	-0.04	-0.06	0.01	2.67	0.03	-1.14	-0.07	0.00	-1.61	0.11	0.64	0.09	-0.02
G6	0.12	4.46	-0.01	0.00	0.00	-0.02	0.00	0.00	2.67	0.00	-1.20	0.00	0.00	-1.64	0.00	0.95	0.00	0.00
G5	0.88	2.77	2.67	-0.03	0.00	-0.16	-0.03	0.04	4.16	-0.02	-1.12	0.05	-0.01	-2.28	0.27	1.20	-0.13	0.07
G4	4.04	-0.45	-0.03	-0.06	0.01	-0.14	-0.03	0.04	1.49	0.01	-1.00	-0.08	0.19	-1.43	-0.32	0.73	-0.07	0.08
G3	2.42	-0.14	-1.60	0.00	0.00	-0.08	0.00	0.00	-1.57	0.00	-1.18	0.00	0.00	-1.85	0.00	0.87	0.00	0.00
G2	2.81	-0.99	1.39	0.00	0.00	-0.09	0.00	0.00	2.43	0.00	-1.14	0.00	0.00	-0.71	0.00	1.19	0.00	0.00
G1	0.55	2.11	1.38	0.00	0.00	-0.05	0.01	-0.02	1.61	0.01	-1.16	0.01	0.00	-1.93	0.06	0.64	-0.03	0.01
G9	0.34	3.41	-0.43	-0.02	0.00	-0.16	-0.01	0.02	4.65	-0.01	-1.16	0.05	-0.15	2.43	0.12	0.88	-0.73	0.07
G8	-0.26	4.71	1.83	0.00	0.00	-0.03	0.00	0.00	4.47	0.00	-1.18	0.00	0.00	-1.40	0.00	0.81	0.00	0.00
G11	3.07	-0.53	1.15	-0.01	0.00	-0.04	-0.03	-0.17	4.79	-0.04	-0.41	-0.09	0.19	-0.38	-0.17	1.83	0.24	0.17
N7	0.45	0.61	2.67	0.00	-0.01	-0.12	0.27	0.02	0.76	-0.08	-1.87	0.03	-0.54	-1.70	0.25	0.74	0.08	-0.04
J9	1.42	0.90	5.86	-0.03	-0.01	0.15	-0.02	-0.04	0.68	-0.01	-0.50	0.01	0.20	-5.99	-0.92	-1.07	0.75	-0.01
J8	1.69	-2.57	3.40	0.00	0.00	-0.02	0.00	0.00	-1.58	0.00	-0.71	0.00	0.00	-2.27	0.00	-1.10	0.00	0.00
F6	-0.53	4.46	-3.62	-0.12	0.02	-0.05	-0.06	0.00	1.03	0.04	-1.23	-0.07	0.10	3.34	-1.52	0.97	-0.74	0.04
J4	1.06	1.67	2.74	0.00	0.00	0.02	0.00	0.00	0.84	0.00	-1.07	0.00	0.00	-2.41	0.00	-1.16	0.00	0.00
J5	1.43	-0.47	3.69	0.00	0.00	-0.07	-0.06	-0.00	1.61	0.04	-1.02	-0.01	0.03	-1.70	-0.04	-0.33	0.12	0.00
J6	0.84	2.04	3.77	0.00	0.00	-0.01	0.00	0.00	2.12	0.00	-0.88	0.00	0.00	-2.71	0.00	-0.94	0.00	0.00
J7	1.43	-2.85	3.29	-0.03	-0.00	-0.01	0.00	0.00	-3.43	-0.01	-0.76	0.01	-0.02	-2.77	-0.49	-1.18	-0.05	0.01
J1	-0.22	1.24	0.20	0.00	0.00	0.00	0.00	0.00	1.09	0.00	0.00	0.00	0.00	-0.11	0.00	-0.02	0.00	0.00
J2	-0.64	1.98	2.31	-0.00	-0.00	0.10	0.06	-0.11	1.73	-0.01	0.02	-0.12	-0.52	-0.94	-0.02	-0.36	-0.43	0.42
