G7	-0.64	1.11	-0.18	0.12	-0.16	-0.14	-0.34	-0.25	0.61	-0.28	0.72	0.05	0.10	-0.26	0.08	0.16	-0.15	0.27
G6	-1.23	1.68	-0.56	0.12	-0.16	-0.20	-0.34	-0.25	-0.71	-0.28	-0.69	0.05	0.10	-0.58	0.08	0.05	-0.15	0.27
G5	-0.53	1.46	-0.79	0.13	-0.16	-0.05	-0.33	-0.16	0.85	-0.26	0.73	0.04	0.16	-0.16	0.14	0.59	-0.28	0.21
G4	0.55	-1.14	0.75	0.12	-0.16	-0.25	-0.34	-0.25	-0.87	-0.28	-1.10	0.05	0.10	-0.17	0.08	-0.22	-0.15	0.27
G3	0.35	-1.57	0.80	-1.56	-0.25	-0.24	0.96	3.16	-1.54	2.27	-0.70	-1.57	-1.96	-0.30	-1.17	0.64	0.98	-2.12
G2	0.27	-0.72	0.55	0.12	-0.16	-0.19	-0.34	-0.25	-0.30	-0.28	0.73	0.05	0.10	-0.66	0.08	0.12	-0.15	0.27
G1	-0.54	0.56	0.07	0.12	-0.16	-0.12	-0.34	-0.25	0.05	-0.28	0.71	0.05	0.10	-0.50	0.08	0.23	-0.15	0.27
G9	-0.70	1.00	-0.32	0.12	-0.16	-0.17	-0.34	-0.25	0.13	-0.28	0.71	0.05	0.10	-0.43	0.08	0.27	-0.15	0.27
G8	-1.25	1.65	-0.11	0.12	-0.16	-0.08	-0.34	-0.25	-0.20	-0.28	-0.64	0.05	0.10	-0.46	0.08	0.09	-0.15	0.27
N6	-0.70	0.78	0.00	0.12	-0.16	0.34	-0.34	-0.25	1.22	-0.28	0.71	0.05	0.10	0.67	0.08	0.89	-0.15	0.27
N7	-0.40	0.70	0.17	1.29	-2.34	-0.26	1.39	-1.44	1.83	4.03	0.69	0.00	1.19	1.06	0.74	-1.50	-0.27	1.16
B4	0.31	-0.73	1.48	0.12	-0.16	-0.19	-0.34	-0.25	-0.11	-0.28	0.71	0.05	0.10	-0.85	0.08	-1.83	-0.15	0.27
B5	-0.77	0.55	-1.50	0.12	-0.16	0.33	-0.34	-0.25	-1.00	-0.28	0.88	0.05	0.10	0.86	0.08	-1.10	-0.15	0.27
B6	1.94	-0.63	-0.30	0.12	-0.16	-0.11	-0.34	-0.25	1.88	-0.28	0.83	0.05	0.10	-0.60	0.08	1.55	-0.15	0.27
B7	1.43	-1.51	1.23	5.00	0.12	-0.45	1.84	1.82	0.40	-1.01	-0.73	-1.25	-2.17	-0.34	-1.85	1.32	0.38	-2.84
B1	-0.65	0.37	-0.38	0.12	-0.16	0.01	-0.34	-0.25	0.42	-0.28	0.72	0.05	0.10	1.18	0.08	0.01	-0.15	0.27
B2	0.43	0.06	-2.17	0.12	-0.16	-0.18	-0.34	-0.25	-0.31	-0.28	0.74	0.05	0.10	0.81	0.08	0.72	-0.15	0.27
B3	0.33	-0.47	1.00	0.12	-0.16	-0.11	-0.34	-0.25	0.11	-0.28	0.70	0.05	0.10	-0.61	0.08	-1.53	-0.15	0.27
B8	0.91	-1.97	-0.04	0.12	-0.16	-0.33	-0.34	-0.25	-1.52	-0.28	-1.14	0.05	0.10	0.36	0.08	1.16	-0.15	0.27
B9	0.78	0.49	-0.03	0.12	-0.16	-0.16	-0.34	-0.25	1.70	-0.28	0.86	0.05	0.10	-0.89	0.08	0.98	-0.15	0.27
N5	-0.59	0.39	-0.46	0.12	-0.16	0.44	-0.34	-0.25	-0.32	-0.28	0.87	0.05	0.10	0.61	0.08	-1.64	-0.15	0.27
P10	-0.19	-0.33	0.04	0.12	-0.16	-0.07	-0.34	-0.25	-0.24	-0.28	0.77	0.05	0.10	0.82	0.08	-1.55	-0.15	0.27
P11	-0.12	-0.09	-1.16	0.12	-0.16	-0.09	-0.34	-0.25	-0.81	-0.28	0.83	0.05	0.10	0.63	0.08	-0.70	-0.15	0.27
P12	-0.36	0.05	-0.83	0.12	-0.16	0.02	-0.34	-0.25	-0.67	-0.28	0.84	0.05	0.10	0.65	0.08	-0.89	-0.15	0.27
