G7	-0.67	0.47	0.87	0.06	0.16	-0.35	-0.12	0.04	0.48	-0.06	-0.70	-0.06	0.02	-0.41	0.01	-0.11	-0.14	-0.04
G6	-0.53	1.47	-0.16	0.26	-2.37	-0.17	-1.39	1.11	1.22	0.20	-0.31	0.46	-1.01	-0.25	-0.82	0.88	-0.01	0.21
G5	-0.56	0.30	0.21	0.06	0.16	-0.40	-0.12	0.04	-0.25	-0.06	-0.69	-0.06	0.02	-0.41	0.01	0.87	-0.14	-0.04
G4	2.89	-1.43	0.28	0.04	0.31	0.89	-0.36	0.14	0.13	-0.19	-0.75	-0.06	0.14	-0.34	-0.41	0.52	-0.14	-0.04
G3	1.82	-0.99	-0.30	0.06	0.16	-0.31	-0.12	0.04	-0.69	-0.06	-0.96	-0.06	0.02	-0.20	0.01	0.82	-0.14	-0.04
G2	1.42	-1.91	2.28	4.96	-4.16	5.00	-0.46	-1.11	-0.32	0.20	-0.28	-1.13	2.01	-3.14	1.35	1.25	2.57	0.23
G1	-0.31	0.10	0.88	0.06	0.16	0.10	-0.12	0.04	0.41	-0.06	-0.85	-0.06	0.02	-0.44	0.01	0.79	-0.14	-0.04
G9	-0.89	0.56	0.86	0.06	0.16	-0.01	-0.12	0.04	0.65	-0.06	-0.84	-0.06	0.02	-0.34	0.01	0.83	-0.14	-0.04
G8	-1.13	1.45	0.75	0.06	0.16	0.03	-0.12	0.04	1.92	-0.06	-0.50	-0.06	0.02	-0.25	0.01	1.13	-0.14	-0.04
N6	-0.76	0.85	-0.34	0.06	0.16	-1.03	-0.12	0.04	1.68	-0.06	1.31	-0.06	0.02	1.30	0.01	-0.38	-0.14	-0.04
N7	-1.19	1.53	-0.38	0.06	0.16	0.10	-0.12	0.04	1.78	-0.06	1.57	-0.06	0.02	0.89	0.01	-1.63	-0.14	-0.04
B4	0.36	-0.93	1.17	0.06	0.16	0.60	-0.12	0.04	-0.19	-0.06	-0.62	-0.06	0.02	-0.23	0.01	-0.30	-0.14	-0.04
B5	-0.98	1.04	-1.51	0.06	0.16	0.19	-0.12	0.04	0.16	-0.06	1.38	-0.06	0.02	1.11	0.01	-0.76	-0.14	-0.04
B6	1.77	-3.31	2.58	0.06	0.16	0.01	-0.12	0.04	-1.25	-0.06	-1.19	-0.06	0.02	-0.24	0.01	-1.06	-0.14	-0.04
B7	0.13	-0.53	0.74	0.06	0.16	0.30	-0.12	0.04	-0.61	-0.06	-1.40	-0.06	0.02	-0.35	0.01	0.30	-0.14	-0.04
